.mag.0,.mag.1,.mag.2
3897,-6527,7832
3897,-6527,7832
3897,-6527,7832
3961,-6509,7836
3961,-6509,7836
3961,-6509,7836
3961,-6509,7836
3963,-6482,7784
3963,-6482,7784
3963,-6482,7784
3963,-6482,7784
4019,-6501,7744
4019,-6501,7744
4019,-6501,7744
4050,-6478,7704
4050,-6478,7704
4050,-6478,7704
4050,-6478,7704
4072,-6440,7691
4072,-6440,7691
4072,-6440,7691
4072,-6440,7691
4124,-6425,7620
4124,-6425,7620
4124,-6425,7620
4124,-6416,7565
4136,-6416,7565
4136,-6416,7565
4136,-6416,7565
4178,-6319,7510
4178,-6319,7510
4178,-6319,7510
4242,-6304,7444
4242,-6304,7444
4242,-6304,7444
4242,-6304,7444
4240,-6251,7404
4240,-6251,7404
4240,-6251,7404
4298,-6161,7337
4298,-6161,7337
4298,-6161,7337
4298,-6161,7337
4347,-6083,7233
4347,-6083,7233
4347,-6083,7233
4394,-5968,7106
4394,-5968,7106
4394,-5968,7106
4394,-5968,7106
4413,-5875,7091
4413,-5875,7091
4413,-5875,7091
4413,-5875,7091
4431,-5779,6992
4431,-5779,6992
4431,-5779,6992
4431,-5779,6912
4432,-5668,6912
4432,-5668,6912
4432,-5668,6912
4445,-5597,6828
4445,-5597,6828
4445,-5597,6828
4445,-5597,6828
4452,-5488,6772
4452,-5488,6772
4452,-5488,6772
4452,-5488,6772
4452,-5410,6702
4452,-5410,6702
4452,-5410,6702
4445,-5361,6603
4445,-5361,6603
4445,-5361,6603
4445,-5361,6603
4452,-5287,6532
4452,-5287,6532
4452,-5287,6532
4452,-5287,6532
4447,-5253,6423
4447,-5253,6423
4447,-5253,6423
4426,-5196,6317
4426,-5196,6317
4426,-5196,6317
4426,-5196,6317
4423,-5125,6260
4423,-5125,6260
4423,-5125,6260
4423,-5125,6260
4414,-5088,6175
4414,-5088,6175
4414,-5088,6175
4414,-5088,6175
4440,-5074,6102
4440,-5074,6102
4440,-5074,6102
4440,-5074,6102
4418,-5036,6009
4418,-5036,6009
4418,-5036,6009
4411,-5003,5984
4411,-5003,5984
4411,-5003,5984
4411,-5003,5984
4439,-4995,5960
4439,-4995,5960
4439,-4995,5960
4439,-4995,5960
4414,-4964,5902
4414,-4964,5902
4414,-4964,5902
4409,-4918,5938
4409,-4918,5938
4409,-4918,5938
4409,-4918,5938
4363,-4904,5987
4363,-4904,5987
4363,-4904,5987
4363,-4904,5987
4373,-4873,6026
4373,-4873,6026
4373,-4873,6026
4373,-4873,6026
4321,-4845,6104
4321,-4845,6104
4321,-4845,6104
4321,-4845,6104
4310,-4850,6186
4310,-4850,6186
4310,-4850,6186
4279,-4860,6275
4279,-4860,6275
4279,-4860,6275
4279,-4860,6275
4277,-4864,6351
4277,-4864,6351
4277,-4864,6351
4277,-4864,6351
4217,-4820,6438
4217,-4820,6438
4217,-4820,6438
4217,-4820,6438
4184,-4835,6483
4184,-4835,6483
4184,-4835,6483
4184,-4835,6483
4115,-4780,6536
4115,-4780,6536
4115,-4780,6536
4064,-4687,6494
4064,-4687,6494
4064,-4687,6494
4014,-4616,6420
4014,-4616,6420
4014,-4616,6420
4014,-4616,6420
3986,-4533,6318
3986,-4533,6318
3986,-4533,6318
3974,-4448,6214
3974,-4448,6214
3974,-4448,6214
3974,-4448,6214
3934,-4410,6137
3934,-4410,6137
3934,-4410,6137
3930,-4397,5995
3930,-4397,5995
3930,-4397,5995
3930,-4397,5995
3936,-4358,5885
3936,-4358,5885
3936,-4358,5885
3947,-4349,5744
3947,-4349,5744
3947,-4349,5744
3930,-4367,5624
3930,-4367,5624
3930,-4367,5624
3930,-4367,5624
3901,-4359,5530
3884,-4370,5361
3919,-4367,5264
3919,-4367,5264
3919,-4367,5264
3926,-4387,5203
3926,-4387,5203
3926,-4387,5203
3926,-4387,5203
3932,-4386,5185
3932,-4386,5185
3932,-4386,5185
3930,-4396,5069
3930,-4396,5069
3930,-4396,5069
3930,-4396,5069
3903,-4400,4956
3903,-4400,4956
3903,-4400,4956
3880,-4398,4873
3880,-4398,4873
3880,-4398,4873
3880,-4398,4873
3853,-4410,4808
3853,-4410,4808
3853,-4410,4808
3800,-4428,4667
3800,-4428,4667
3800,-4428,4667
3800,-4428,4667
3810,-4452,4615
3810,-4452,4615
3810,-4452,4615
3747,-4490,4503
3747,-4490,4503
3747,-4490,4503
3747,-4490,4503
3757,-4513,4417
3757,-4513,4417
3757,-4513,4417
3738,-4538,4322
3738,-4538,4322
3738,-4538,4322
3738,-4538,4322
3717,-4591,4209
3717,-4591,4209
3717,-4591,4209
3712,-4707,4151
3712,-4707,4151
3712,-4707,4151
3712,-4707,4151
3719,-4761,4076
3719,-4761,4076
3719,-4761,4076
3730,-4849,4011
3730,-4849,4011
3730,-4849,4011
3730,-4849,4011
3752,-4932,3954
3752,-4932,3954
3752,-4932,3954
3789,-5006,3939
3789,-5006,3939
3789,-5006,3939
3789,-5006,3939
3813,-5095,3888
3813,-5095,3888
3813,-5095,3888
3771,-5170,3866
3771,-5170,3866
3771,-5170,3866
3801,-5216,3823
3801,-5216,3823
3801,-5216,3823
3801,-5216,3823
3825,-5259,3780
3825,-5259,3780
3825,-5259,3780
3842,-5301,3748
3842,-5301,3748
3842,-5301,3748
3842,-5301,3748
3842,-5336,3762
3842,-5336,3762
3842,-5336,3762
3868,-5370,3737
3868,-5370,3737
3868,-5370,3737
3868,-5370,3737
3836,-5391,3692
3836,-5391,3692
3836,-5391,3692
3836,-5418,3707
3836,-5418,3707
3836,-5418,3707
3836,-5418,3707
3837,-5434,3660
3837,-5434,3660
3837,-5434,3660
3790,-5413,3671
3790,-5413,3671
3790,-5413,3671
3800,-5406,3665
3800,-5406,3665
3800,-5406,3665
3800,-5406,3665
3763,-5387,3684
3763,-5387,3684
3763,-5387,3684
3763,-5383,3663
3763,-5383,3663
3763,-5383,3663
3779,-5365,3694
3779,-5365,3694
3779,-5365,3694
3779,-5365,3694
3784,-5355,3671
3784,-5355,3671
3784,-5355,3671
3800,-5338,3689
3800,-5338,3689
3800,-5338,3689
3800,-5338,3689
3807,-5338,3762
3807,-5338,3762
3807,-5338,3762
3816,-5285,3774
3816,-5285,3774
3816,-5285,3774
3816,-5285,3774
3822,-5256,3754
3822,-5256,3754
3822,-5256,3754
3793,-5211,3821
3793,-5211,3821
3793,-5211,3821
3793,-5211,3821
3769,-5141,3842
3769,-5141,3842
3769,-5141,3842
3762,-5093,3854
3762,-5093,3854
3762,-5093,3854
3762,-5093,3854
3722,-5053,3916
3722,-5053,3916
3722,-5053,3916
3723,-4964,3937
3723,-4964,3937
3723,-4964,3937
3723,-4964,3937
3704,-4889,3992
3704,-4889,3992
3704,-4889,3992
3680,-4843,4070
3680,-4843,4070
3680,-4843,4070
3680,-4843,4070
3722,-4816,4077
3722,-4816,4077
3722,-4816,4077
3745,-4874,4069
3745,-4874,4069
3745,-4874,4069
3745,-4874,4069
3781,-4988,4023
3781,-4988,4023
3781,-4988,4023
3864,-5086,3956
3864,-5086,3956
3864,-5086,3956
3864,-5086,3956
3878,-5213,3927
3878,-5213,3927
3878,-5213,3927
3917,-5359,3865
3917,-5359,3865
3917,-5359,3865
3917,-5359,3865
3992,-5446,3927
3992,-5446,3927
3992,-5446,3927
4054,-5520,3920
4054,-5520,3920
4054,-5520,3920
4054,-5520,3920
4049,-5564,3909
4049,-5564,3909
4049,-5564,3909
4037,-5608,3882
4037,-5608,3882
4037,-5608,3882
4037,-5608,3882
4024,-5648,3866
4024,-5648,3866
4024,-5648,3866
4022,-5683,3800
4022,-5683,3800
4022,-5683,3800
4022,-5683,3800
4012,-5719,3771
4012,-5719,3771
4012,-5719,3771
3996,-5745,3784
3996,-5745,3784
3996,-5745,3784
3963,-5794,3688
3963,-5794,3688
3963,-5794,3688
3963,-5794,3688
3916,-5818,3619
3916,-5818,3619
3916,-5818,3619
3876,-5820,3575
3876,-5820,3575
3876,-5820,3575
3876,-5820,3575
3778,-5821,3489
3778,-5821,3489
3778,-5821,3489
